trial,stimulus,chosen_action,correct_action,is_correct,accuracy
1,letter-B,chunk(id='no_action'),"feature(d='act#type', v='press_b', l=0)",False,0.0
2,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.5
3,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.6666666666666666
4,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.75
5,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.8
6,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.8333333333333334
7,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.8571428571428571
8,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.875
9,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.8888888888888888
10,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9
11,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9090909090909091
12,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9166666666666666
13,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9230769230769231
14,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9285714285714286
15,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9333333333333333
16,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9375
17,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9411764705882353
18,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9444444444444444
19,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9473684210526315
20,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.95
21,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9523809523809523
22,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9545454545454546
23,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9565217391304348
24,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9583333333333334
25,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.96
26,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9615384615384616
27,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9629629629629629
28,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9642857142857143
29,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9655172413793104
30,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9666666666666667
31,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.967741935483871
32,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.96875
33,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9696969696969697
34,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9705882352941176
35,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9714285714285714
36,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9722222222222222
37,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.972972972972973
38,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9736842105263158
39,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9743589743589743
40,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.975
41,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.975609756097561
42,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9761904761904762
43,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9767441860465116
44,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9772727272727273
45,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9777777777777777
46,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9782608695652174
47,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9787234042553191
48,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9791666666666666
49,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9795918367346939
50,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.98
51,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9803921568627451
52,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9807692307692307
53,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9811320754716981
54,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9814814814814815
55,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9818181818181818
56,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9821428571428571
57,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9824561403508771
58,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9827586206896551
59,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9830508474576272
60,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9833333333333333
61,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9836065573770492
62,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9838709677419355
63,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9841269841269841
64,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.984375
65,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9846153846153847
66,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9848484848484849
67,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9850746268656716
68,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9852941176470589
69,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9855072463768116
70,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9857142857142858
71,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9859154929577465
72,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9861111111111112
73,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9863013698630136
74,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9864864864864865
75,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9866666666666667
76,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9868421052631579
77,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.987012987012987
78,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9871794871794872
79,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9873417721518988
80,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9875
81,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9876543209876543
82,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9878048780487805
83,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9879518072289156
84,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9880952380952381
85,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9882352941176471
86,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9883720930232558
87,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9885057471264368
88,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9886363636363636
89,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9887640449438202
90,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9888888888888889
91,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.989010989010989
92,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9891304347826086
93,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.989247311827957
94,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9893617021276596
95,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9894736842105263
96,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9895833333333334
97,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9896907216494846
98,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9897959183673469
99,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.98989898989899
100,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.99
101,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9900990099009901
102,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9901960784313726
103,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9902912621359223
104,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9903846153846154
105,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9904761904761905
106,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9905660377358491
107,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9906542056074766
108,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9907407407407407
109,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9908256880733946
110,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.990909090909091
111,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.990990990990991
112,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9910714285714286
113,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9911504424778761
114,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9912280701754386
115,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.991304347826087
116,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9913793103448276
117,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9914529914529915
118,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9915254237288136
119,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9915966386554622
120,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9916666666666667
121,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9917355371900827
122,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9918032786885246
123,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.991869918699187
124,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9919354838709677
125,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.992
126,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9920634920634921
127,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9921259842519685
