trial,stimulus,chosen_action,correct_action,is_correct,accuracy
1,letter-C,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_c', l=0)",False,0.0
2,letter-B,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.0
3,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.3333333333333333
4,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.5
5,letter-B,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.4
6,letter-A,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_a', l=0)",False,0.3333333333333333
7,letter-B,chunk(id='no_action'),"feature(d='act#type', v='press_b', l=0)",False,0.2857142857142857
8,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.375
9,letter-C,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_c', l=0)",False,0.3333333333333333
10,letter-A,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_a', l=0)",False,0.3
11,letter-B,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.2727272727272727
12,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.3333333333333333
13,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.38461538461538464
14,letter-B,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.35714285714285715
15,letter-B,chunk(id='no_action'),"feature(d='act#type', v='press_b', l=0)",False,0.3333333333333333
16,letter-A,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_a', l=0)",False,0.3125
17,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.35294117647058826
18,letter-A,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_a', l=0)",False,0.3333333333333333
19,letter-C,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_c', l=0)",False,0.3157894736842105
20,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.35
21,letter-A,chunk(id='no_action'),"feature(d='act#type', v='press_a', l=0)",False,0.3333333333333333
22,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.36363636363636365
23,letter-B,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.34782608695652173
24,letter-B,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.3333333333333333
25,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.36
26,letter-B,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.34615384615384615
27,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.37037037037037035
